v8-version,6,1,534,48,0
code-creation,Builtin,5,212442,0x65f6dd1760,134,"ObjectFreeze"
code-creation,Builtin,5,212444,0x65f6dd1800,134,"ObjectGetPrototypeOf"
code-creation,Builtin,5,212447,0x65f6dd18a0,134,"ObjectSetPrototypeOf"
code-creation,Builtin,5,212449,0x65f6dd1940,134,"ObjectIsExtensible"
code-creation,Builtin,5,212452,0x65f6dd19e0,134,"ObjectIsFrozen"
code-creation,Builtin,5,212454,0x65f6dd1a80,134,"ObjectIsSealed"
code-creation,Builtin,5,212456,0x65f6dd1b20,640,"ObjectKeys"
code-creation,Builtin,5,212458,0x65f6dd1da0,134,"ObjectEntries"
code-creation,Builtin,5,212461,0x65f6dd1e40,134,"ObjectValues"
code-creation,Builtin,5,212463,0x65f6dd1ee0,134,"ObjectDefineGetter"
code-creation,Builtin,5,212465,0x65f6dd1f80,134,"ObjectDefineSetter"
code-creation,Builtin,5,212468,0x65f6dd2020,2139,"ObjectHasOwnProperty"
code-creation,Builtin,5,212470,0x65f6dd2880,134,"ObjectLookupGetter"
code-creation,Builtin,5,212472,0x65f6dd2920,134,"ObjectLookupSetter"
code-creation,Builtin,5,212474,0x65f6dd29c0,319,"ObjectPrototypeIsPrototypeOf"
code-creation,Builtin,5,212477,0x65f6dd2b00,134,"ObjectPrototypePropertyIsEnumerable"
code-creation,Builtin,5,212479,0x65f6dd2ba0,880,"ObjectProtoToString"
code-creation,Builtin,5,212481,0x65f6dd2f20,139,"ObjectPrototypeValueOf"
code-creation,Builtin,5,212484,0x65f6dd2fc0,134,"ObjectPrototypeGetProto"
code-creation,Builtin,5,212486,0x65f6dd3060,134,"ObjectPrototypeSetProto"
code-creation,Builtin,5,212488,0x65f6dd3100,134,"FunctionConstructor"
code-creation,Builtin,5,212491,0x65f6dd31a0,160,"FunctionPrototypeApply"
code-creation,Builtin,5,212494,0x65f6dd3240,1392,"CallWithArrayLike"
code-creation,Builtin,5,212496,0x65f6dd37c0,177,"CallVarargs"
code-creation,Builtin,5,212499,0x65f6dd3880,964,"FastFunctionPrototypeBind"
code-creation,Builtin,5,212501,0x65f6dd3c60,134,"FunctionPrototypeBind"
code-creation,Builtin,5,212504,0x65f6dd3d00,143,"FunctionPrototypeCall"
code-creation,Builtin,5,212506,0x65f6dd3da0,134,"FunctionPrototypeToString"
code-creation,Builtin,5,212508,0x65f6dd3e40,355,"FunctionPrototypeHasInstance"
code-creation,Builtin,5,212511,0x65f6dd3fc0,143,"AsyncIteratorValueUnwrap"
code-creation,Builtin,5,212513,0x65f6dd4060,1160,"AsyncGeneratorAwaitCaught"
code-creation,Builtin,5,212515,0x65f6dd4500,1136,"AsyncGeneratorAwaitUncaught"
